date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps,,,,,,,,,,,,,,,
07/02/2022,48,313,6,2022-02-06 20:18:00+0000,2022-02-07 02:48:00+0000,23,,,,,,,,,,,,,,,,
08/02/2022,46,314,22,2022-02-07 19:52:00+0000,2022-02-08 03:14:00+0000,60,,,,,,,,,,,,,,,,
09/02/2022,54,313,5,2022-02-08 23:06:00+0000,2022-02-09 05:55:00+0000,37,,,,,,,,,,,,,,,,
10/02/2022,76,195,45,2022-02-09 21:53:00+0000,2022-02-10 04:58:00+0000,109,,,,,,,,,,,,,,,,
11/02/2022,47,183,186,2022-02-10 19:25:00+0000,2022-02-11 05:00:00+0000,159,,,,,,,,,,,,,,,,
12/02/2022,119,243,59,2022-02-11 20:42:00+0000,2022-02-12 06:00:00+0000,137,"[{\start\"":\""2022-01-08 00:36:43+0000\""","\""end\"":\""2022-01-08 00:37:36+0000\""}]""",,,,,,,,,,,,,,
13/02/2022,23,229,0,2022-02-13 00:34:00+0000,2022-02-13 05:21:00+0000,35,,,,,,,,,,,,,,,,
14/02/2022,49,273,6,2022-02-13 20:26:00+0000,2022-02-14 02:15:00+0000,21,,,,,,,,,,,,,,,,
15/02/2022,20,370,11,2022-02-14 20:56:00+0000,2022-02-15 04:11:00+0000,34,,,,,,,,,,,,,,,,
16/02/2022,41,353,10,2022-02-15 21:08:00+0000,2022-02-16 04:45:00+0000,53,,,,,,,,,,,,,,,,
17/02/2022,45,274,1,2022-02-16 22:07:00+0000,2022-02-17 04:05:00+0000,38,,,,,,,,,,,,,,,,
18/02/2022,76,264,72,2022-02-17 20:17:00+0000,2022-02-18 04:39:00+0000,90,,,,,,,,,,,,,,,,
19/02/2022,69,229,20,2022-02-18 21:15:00+0000,2022-02-19 04:12:00+0000,99,,,,,,,,,,,,,,,,
20/02/2022,0,0,0,2022-02-18 21:00:00+0000,2022-02-18 21:00:00+0000,0,"[{\start\"":\""2022-01-08 00:19:06+0000\""","\""end\"":\""2022-01-08 00:19:37+0000\""}]""",,,,,,,,,,,,,,
21/02/2022,61,122,1,2022-02-21 00:07:00+0000,2022-02-21 03:41:00+0000,30,,,,,,,,,,,,,,,,
22/02/2022,50,295,26,2022-02-21 18:53:00+0000,2022-02-22 02:31:00+0000,87,,,,,,,,,,,,,,,,
23/02/2022,48,303,7,2022-02-22 22:04:00+0000,2022-02-23 04:44:00+0000,42,"[{\start\"":\""2022-01-08 00:18:19+0000\""","\""end\"":\""2022-01-08 00:18:36+0000\""}","{\""start\"":\""2022-01-08 00:18:37+0000\""","\""end\"":\""2022-01-08 00:18:57+0000\""}","{\""start\"":\""2022-01-08 00:18:58+0000\""","\""end\"":\""2022-01-08 00:19:33+0000\""}]""",,,,,,,,,,
24/02/2022,57,284,6,2022-02-23 22:37:00+0000,2022-02-24 05:01:00+0000,37,,,,,,,,,,,,,,,,
25/02/2022,47,326,13,2022-02-24 20:35:00+0000,2022-02-25 03:32:00+0000,31,,,,,,,,,,,,,,,,
26/02/2022,44,191,16,2022-02-25 21:52:00+0000,2022-02-26 02:23:00+0000,20,"[{\start\"":\""2022-01-08 00:36:26+0000\""","\""end\"":\""2022-01-08 00:36:37+0000\""}","{\""start\"":\""2022-01-08 00:36:38+0000\""","\""end\"":\""2022-01-08 00:37:04+0000\""}","{\""start\"":\""2022-01-08 00:37:05+0000\""","\""end\"":\""2022-01-08 00:37:34+0000\""}]""",,,,,,,,,,
27/02/2022,8,114,18,2022-02-26 21:36:00+0000,2022-02-27 00:47:00+0000,51,,,,,,,,,,,,,,,,
28/02/2022,85,328,10,2022-02-27 21:03:00+0000,2022-02-28 04:39:00+0000,33,,,,,,,,,,,,,,,,
01/03/2022,31,240,0,2022-02-28 20:37:00+0000,2022-03-01 01:42:00+0000,34,,,,,,,,,,,,,,,,
02/03/2022,81,230,2,2022-03-01 21:57:00+0000,2022-03-02 04:34:00+0000,84,,,,,,,,,,,,,,,,
03/03/2022,91,230,41,2022-03-02 20:01:00+0000,2022-03-03 03:36:00+0000,93,,,,,,,,,,,,,,,,
04/03/2022,64,278,6,2022-03-03 21:41:00+0000,2022-03-04 04:14:00+0000,45,,,,,,,,,,,,,,,,
05/03/2022,36,153,16,2022-03-05 00:32:00+0000,2022-03-05 05:15:00+0000,78,,,,,,,,,,,,,,,,
06/03/2022,48,274,17,2022-03-05 20:25:00+0000,2022-03-06 03:29:00+0000,85,"[{\start\"":\""2022-01-08 00:36:35+0000\""","\""end\"":\""2022-01-08 00:37:01+0000\""}]""",,,,,,,,,,,,,,
07/03/2022,48,313,6,2022-03-06 21:40:00+0000,2022-03-07 04:10:00+0000,23,,,,,,,,,,,,,,,,
08/03/2022,51,281,1,2022-03-07 22:02:00+0000,2022-03-08 04:35:00+0000,60,,,,,,,,,,,,,,,,
09/03/2022,79,300,32,2022-03-08 21:00:00+0000,2022-03-09 04:53:00+0000,62,,,,,,,,,,,,,,,,
10/03/2022,60,229,7,2022-03-09 23:21:00+0000,2022-03-10 05:16:00+0000,59,,,,,,,,,,,,,,,,
11/03/2022,65,338,10,2022-03-10 21:41:00+0000,2022-03-11 05:11:00+0000,37,,,,,,,,,,,,,,,,
12/03/2022,0,0,0,2022-03-10 21:00:00+0000,2022-03-10 21:00:00+0000,0,,,,,,,,,,,,,,,,
